State,id,Name,Rate,ID
AL,1001,Autauga County,0.097,
AL,1003,Baldwin County,0.091,
AL,1005,Barbour County,0.134,
AL,1007,Bibb County,0.121,
AL,1009,Blount County,0.099,
AL,1011,Bullock County,0.164,
AL,1013,Butler County,0.167,
AL,1015,Calhoun County,0.108,
AL,1017,Chambers County,0.186,
AL,1019,Cherokee County,0.118,
AL,1021,Chilton County,0.099,
AL,1023,Choctaw County,0.127,
AL,1025,Clarke County,0.17,
AL,1027,Clay County,0.159,
AL,1029,Cleburne County,0.104,
AL,1031,Coffee County,0.085,
AL,1033,Colbert County,0.114,
AL,1035,Conecuh County,0.195,
AL,1037,Coosa County,0.14,
AL,1039,Covington County,0.101,
AL,1041,Crenshaw County,0.097,
AL,1043,Cullman County,0.096,
AL,1045,Dale County,0.093,
AL,1047,Dallas County,0.211,
AL,1049,DeKalb County,0.143,
AL,1051,Elmore County,0.09,
AL,1053,Escambia County,0.129,
AL,1055,Etowah County,0.107,
AL,1057,Fayette County,0.128,
AL,1059,Franklin County,0.123,
AL,1061,Geneva County,0.1,
AL,1063,Greene County,0.147,
AL,1065,Hale County,0.127,
AL,1067,Henry County,0.099,
AL,1069,Houston County,0.089,
AL,1071,Jackson County,0.118,
AL,1073,Jefferson County,0.107,
AL,1075,Lamar County,0.148,
AL,1077,Lauderdale County,0.105,
AL,1079,Lawrence County,0.136,
AL,1081,Lee County,0.086,
AL,1083,Limestone County,0.093,
AL,1085,Lowndes County,0.185,
AL,1087,Macon County,0.114,
AL,1089,Madison County,0.075,
AL,1091,Marengo County,0.148,
AL,1093,Marion County,0.152,
AL,1095,Marshall County,0.092,
AL,1097,Mobile County,0.111,
AL,1099,Monroe County,0.187,
AL,1101,Montgomery County,0.102,
AL,1103,Morgan County,0.104,
AL,1105,Perry County,0.198,
AL,1107,Pickens County,0.13,
AL,1109,Pike County,0.087,
AL,1111,Randolph County,0.151,
AL,1113,Russell County,0.126,
AL,1115,St. Clair County,0.107,
AL,1117,Shelby County,0.076,
AL,1119,Sumter County,0.139,
AL,1121,Talladega County,0.136,
AL,1123,Tallapoosa County,0.137,
AL,1125,Tuscaloosa County,0.09,
AL,1127,Walker County,0.119,
AL,1129,Washington County,0.151,
AL,1131,Wilcox County,0.256,
AL,1133,Winston County,0.175,
AK,2013,Aleutians East Borough,0.101,
AK,2016,Aleutians West Census Area,0.084,
AK,2020,Anchorage Municipality,0.07,
AK,2050,Bethel Census Area,0.148,
AK,2060,Bristol Bay Borough,0.036,
AK,2068,Denali Borough,0.034,
AK,2070,Dillingham Census Area,0.084,
AK,2090,Fairbanks North Star Borough,0.069,
AK,2100,Haines Borough,0.062,
AK,2105,Hoonah-Angoon Census Area,#N/A,
AK,2110,Juneau City and Borough,0.057,
AK,2122,Kenai Peninsula Borough,0.097,
AK,2130,Ketchikan Gateway Borough,0.061,
AK,2150,Kodiak Island Borough,0.066,
AK,2164,Lake and Peninsula Borough,0.059,
AK,2170,Matanuska-Susitna Borough,0.088,
AK,2180,Nome Census Area,0.121,
AK,2185,North Slope Borough,0.057,
AK,2188,Northwest Arctic Borough,0.132,
AK,2195,Petersburg Census Area,#N/A,
AK,2198,Prince of Wales-Hyder Census Area,#N/A,
AK,2220,Sitka City and Borough,0.059,
AK,2230,Skagway Municipality,#N/A,
AK,2240,Southeast Fairbanks Census Area,0.081,
AK,2261,Valdez-Cordova Census Area,0.064,
AK,2270,Wade Hampton Census Area,0.204,
AK,2275,Wrangell City and Borough,#N/A,
AK,2282,Yakutat City and Borough,0.063,
AK,2290,Yukon-Koyukuk Census Area,0.136,
AZ,4001,Apache County,0.148,
AZ,4003,Cochise County,0.074,
AZ,4005,Coconino County,0.077,
AZ,4007,Gila County,0.109,
AZ,4009,Graham County,0.144,
